Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
8.76,0,0,285.8,7.2039,1,27,27
8.775,0,0,285.8,7.2039,1,27,27
8.79,0,0,285.8,8.47374,1,27,27
8.805,0,0,285.8,8.00976,1,27,27
8.82,0,0,285.8,8.00976,1,27,27
8.835,0,0,285.8,7.13064,1,27,27
8.85,0,0,285.8,7.13064,1,27,27
8.865,0,0,285.8,7.27716,1,27,27
8.88,0,0,285.8,7.2039,1,27,27
8.895,0,0,285.8,7.2039,1,27,27
8.91,0,0,285.8,7.2039,1,27,27
8.925,0,0,285.8,7.27716,1,27,27
8.94,0,0,285.8,6.81318,1,27,27
8.955,0,0,285.8,7.35042,1,27,27
8.97,0,0,285.8,7.27716,1,27,27
8.985,0,0,285.8,7.13064,1,27,27
9,0,0,285.8,6.9597,1,27,27
9.015,0,0,285.8,8.40048,1,27,27
9.03,0,0,285.8,7.64346,1,27,27
9.045,0,0,285.8,7.2039,1,27,27
9.06,0,0,285.8,7.27716,1,27,27
9.075,0,0,285.8,7.27716,1,27,27
9.09,0,0,285.8,7.35042,1,27,27
9.105,0,0,285.8,7.27716,1,27,27
9.12,0,0,285.8,7.27716,1,27,27
9.135,0,0,285.8,7.49694,1,27,27
9.15,0,0,285.8,8.00976,1,27,27
9.165,0,0,285.8,7.2039,1,27,27
9.18,0,0,285.8,7.49694,1,27,27
9.195,0,0,285.8,7.13064,1,27,27
9.21,0,0,285.8,7.49694,1,27,27
9.225,0,0,285.8,7.64346,1,27,27
9.24,0,0,285.8,7.71672,1,27,27
9.255,0,0,285.8,7.5702,1,27,27
9.27,0,0,285.8,7.49694,1,27,27
9.285,0,0,285.8,7.35042,1,27,27
9.3,0,0,285.8,7.86324,1,27,27
9.315,0,0,285.8,7.71672,1,27,27
9.33,0,0,285.8,8.40048,1,27,27
9.345,0,0,285.8,9.1575,1,27,27
9.36,0,0,285.8,8.40048,1,27,27
9.375,0,0,285.8,8.40048,1,27,27
9.39,0,0,285.8,9.81684,1,27,27
9.405,0,0,285.8,10.72038,1,27,27
9.42,0,0,285.8,10.94016,1,27,27
9.435,0,0,285.8,11.69718,1,27,27
9.45,0,0,285.8,14.70084,1,27,27
9.465,0,0,285.8,18.53478,1,27,27
9.48,0,0,285.8,22.51524,1,27,27
9.495,0,0,285.8,27.98532,1,27,27
9.51,0,0,285.8,34.13916,1,27,27
9.525,0,0,285.8,39.85344,1,27,27
9.54,0,0,285.8,46.08054,1,27,27
9.555,0,0,285.8,52.55184,1,27,27
9.57,0,0,285.8,58.53474,1,27,27
9.585,0,0,285.8,63.66294,1,27,27
9.6,0,0,285.8,68.91324,1,27,27
9.615,0,0,285.8,73.40652,1,27,27
9.63,0,0,285.8,78.65682,1,27,27
9.645,0,0,285.8,78.65682,1,27,27
9.66,0,0,285.8,83.10126,1,27,27
9.675,0,0,285.8,87.15498,1,27,27
9.69,0,0,285.8,91.79478,1,27,27
9.705,0,0,285.8,95.4822,1,27,27
9.72,0,0,285.8,99.9999,1,27,27
9.735,0,0,285.8,99.9999,1,27,27
9.75,0,0,285.8,99.9999,1,27,27
9.765,0,0,285.8,99.9999,1,27,27
9.78,0,0,285.8,99.9999,1,27,27
9.795,0,0,285.8,99.9999,1,27,27
9.81,0,0,285.8,99.9999,1,27,27
9.825,0,0,285.8,99.9999,1,27,27
9.84,0,0,285.8,99.9999,1,27,27
9.855,0,0,285.8,99.9999,1,27,27
9.87,0,0,285.8,99.9999,1,27,27
9.885,0,0,285.8,99.9999,1,27,27
9.9,0,0,285.8,99.9999,1,27,27
9.915,0,0,285.8,99.9999,1,27,27
9.93,0,0,285.8,99.9999,1,27,27
9.945,0,0,285.8,99.9999,1,27,27
9.96,0,0,285.8,99.9999,1,27,27
9.975,0,0,285.8,99.9999,1,27,27
9.99,0,0,285.8,99.9999,1,27,27
10.005,0,0,285.8,99.9999,1,27,27
10.02,0,0,285.8,99.9999,1,27,27
10.035,0,0,285.8,99.9999,1,27,27
10.05,0,0,285.8,99.9999,1,27,27
10.065,0,0,285.8,99.9999,1,27,27
10.08,0,0,285.8,99.9999,1,27,27
10.095,0,0,285.8,99.9999,1,27,27
10.11,0,0,285.8,99.9999,1,27,27
10.125,0,0,285.8,99.9999,1,27,27
10.14,0,0,285.8,99.9999,1,27,27
10.155,0,0,285.8,99.9999,1,27,27
10.17,0,0,285.8,99.9999,1,27,27
10.185,0,0,285.8,99.9999,1,27,27
10.2,0,0,285.8,99.9999,1,27,27
10.215,0,0,285.8,99.9999,1,27,27
10.23,0,0,285.8,99.9999,1,27,27
10.245,0,0,285.8,99.9999,1,27,27
10.26,0,0,285.8,99.9999,1,27,27
10.275,0,0,285.8,99.9999,1,27,27
10.29,0,0,285.8,99.9999,1,27,27
10.305,0,0,285.8,99.9999,1,27,27
10.32,0,0,285.8,99.9999,1,27,27
10.335,0,0,285.8,99.9999,1,27,27
10.35,0,0,285.8,99.9999,1,27,27
10.365,0,0,285.8,99.9999,1,27,27
10.38,0,0,285.8,99.9999,1,27,27
10.395,0,0,285.8,99.9999,1,27,27
10.41,0,0,285.8,99.9999,1,27,27
10.425,0,0,285.8,99.9999,1,27,27
10.44,0,0,285.8,99.9999,1,27,27
10.455,0,0,285.8,99.9999,1,27,27
10.47,0,0,285.8,99.9999,1,27,27
10.485,0,0,285.8,99.9999,1,27,27
10.5,0,0,285.8,99.9999,1,27,27
10.515,0,0,285.8,99.9999,1,27,27
10.53,0,0,285.8,99.9999,1,27,27
10.545,0,0,285.8,99.9999,1,27,27
10.56,0,0,285.8,99.9999,1,27,27
10.575,0,0,285.8,99.9999,1,27,27
10.59,0,0,285.8,99.9999,1,27,27
10.605,0,0,285.8,99.9999,1,27,27
10.62,0,0,285.8,99.9999,1,27,27
10.635,0,0,285.8,99.9999,1,27,27
10.65,0,0,285.8,99.9999,1,27,27
10.665,0,0,285.8,99.9999,1,27,27
10.68,0,0,285.8,99.9999,1,27,27
10.695,0,0,285.8,99.9999,1,27,27
10.71,0,0,285.8,99.9999,1,27,27
10.725,0,0,285.8,99.9999,1,27,27
10.74,0,0,285.8,99.9999,1,27,27
10.755,0,0,285.8,99.9999,1,27,27
10.77,0,0,285.8,99.9999,1,27,27
10.785,0,0,285.8,99.9999,1,27,27
10.8,0,0,285.8,99.9999,1,27,27
10.815,0,0,285.8,99.9999,1,27,27
10.83,0,0,285.8,99.9999,1,27,27
10.845,0,0,285.8,99.9999,1,27,27
10.86,0,0,285.8,99.9999,1,27,27
10.875,0,0,285.8,99.9999,1,27,27
10.89,0,0,285.8,99.9999,1,27,27
10.905,0,0,285.8,99.9999,1,27,27
10.92,0,0,285.8,99.9999,1,27,27
10.935,0,0,285.8,99.9999,1,27,27
10.95,0,0,285.8,99.9999,1,27,27
10.965,0,0,285.8,99.9999,1,27,27
