Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
10.5,0,0,287.2,6.08058,1,29,29
10.515,0,0,287.2,5.76312,1,29,29
10.53,0,0,287.2,6.30036,1,23,23
10.545,0,0,287.2,6.37362,1,25,25
10.56,0,0,287.2,6.37362,1,25,25
10.575,0,0,287.2,6.30036,1,25,25
10.59,0,0,287.2,5.9829,1,24,24
10.605,0,0,287.2,6.37362,1,25,25
10.62,0,0,287.2,7.27716,1,25,25
10.635,0,0,287.2,7.64346,1,29,29
10.65,0,0,287.2,6.52014,1,30,30
10.665,0,0,287.2,6.73992,1,30,30
10.68,0,0,287.2,8.00976,1,27,27
10.695,0,0,287.2,6.73992,1,32,32
10.71,0,0,287.2,6.52014,1,27,27
10.725,0,0,287.2,6.5934,1,27,27
10.74,0,0,287.2,6.44688,1,26,26
10.755,0,0,287.2,7.27716,1,25,25
10.77,0,0,287.2,7.5702,1,29,29
10.785,0,0,287.2,7.64346,1,29,29
10.8,0,0,287.2,6.52014,1,30,30
10.815,0,0,287.2,6.52014,1,26,26
10.83,0,0,287.2,6.52014,1,26,26
10.845,0,0,287.2,6.73992,1,26,26
10.86,0,0,287.2,6.9597,1,28,28
10.875,0,0,287.2,6.88644,1,27,27
10.89,0,0,287.2,7.64346,1,27,27
10.905,0,0,287.2,7.86324,1,30,30
10.92,0,0,287.2,7.86324,1,31,31
10.935,0,0,287.2,8.40048,1,31,31
10.95,0,0,287.2,8.00976,1,33,33
10.965,0,0,287.2,9.23076,1,32,32
10.98,0,0,287.2,7.49694,1,37,37
10.995,0,0,287.2,8.69352,1,37,37
11.01,0,0,287.2,7.86324,1,35,35
11.025,0,0,287.2,8.547,1,31,31
11.04,0,0,287.2,8.1807,1,31,31
11.055,0,0,287.2,7.86324,1,34,34
11.07,0,0,287.2,7.35042,1,31,31
11.085,0,0,287.2,7.35042,1,29,29
11.1,0,0,287.2,7.35042,1,29,29
11.115,0,0,287.2,6.88644,1,29,29
