Bus, Main, Main, Main, Main
Node, torque_vector, torque_vector, torque_vector, torque_vector
Message, vehHead, sfs_ang_vel, sfs_ang_vel, sfs_ang_vel
Signal, vehHead, sfs_ang_vel_x, sfs_ang_vel_y, sfs_ang_vel_z
92.175,81,-0.0597,0.0586,0.0805
92.19,81,-0.0069,0.0513,0.0938
92.205,81.4,0.0039,0.0031,0.1103
92.22,81.4,-0.0626,-0.0191,0.0999
92.235,81.4,-0.0626,-0.0191,0.0999
92.25,81.8,-0.0361,-0.0587,0.1143
92.265,81.8,0.1287,-0.0301,0.1252
92.28,81.8,0.0655,-0.1429,0.0903
92.295,81.3,0.0655,-0.1429,0.0903
92.31,81.3,-0.1272,-0.2048,0.1207
92.325,80.8,0.1212,-0.2058,0.1337
92.34,80.8,0.1212,-0.2058,0.1337
92.355,80.8,-0.0163,-0.1194,0.1195
92.37,79.7,-0.0163,-0.1194,0.1195
92.385,79.7,-0.121,-0.0285,0.1334
92.4,79.7,0.0197,0.0406,0.1319
92.415,79.6,0.0483,0.124,0.1464
92.43,79.6,-0.0742,0.1673,0.1401
92.445,80.2,-0.0742,0.1673,0.1401
92.46,80.2,0.0812,0.0903,0.1405
92.475,80.2,-0.0152,0.0795,0.1327
92.49,80.5,-0.0683,0.0856,0.1322
92.505,80.5,-0.0683,0.0856,0.1322
92.52,80.5,0.1015,0.0459,0.1402
92.535,79.9,0.1015,0.0459,0.1402
92.55,79.9,0.0268,-0.0149,0.1273
92.565,79,-0.0788,-0.0906,0.1451
92.58,79,-0.0788,-0.0906,0.1451
92.595,79,-0.0469,-0.0781,0.1418
92.61,77.9,-0.037,-0.0604,0.1443
92.625,77.9,-0.0175,-0.0191,0.1478
92.64,77.9,0.0207,0.0353,0.1579
92.655,78.3,0.0207,0.0353,0.1579
92.67,78.3,-0.0503,-0.0066,0.1543
92.685,78.1,-0.0503,-0.0066,0.1543
92.7,78.1,0.0201,-0.0575,0.1649
92.715,78.1,0.081,-0.0343,0.1465
92.73,78,0.081,-0.0343,0.1465
92.745,78,-0.0171,-0.0339,0.1522
92.76,78,-0.0651,0.0326,0.137
92.775,77.4,0.0104,0.0867,0.1287
92.79,77.4,0.0104,0.0867,0.1287
92.805,76.8,-0.06,0.0829,0.1247
92.82,76.8,-0.0106,0.0681,0.1275
92.835,76.8,0.0292,0.0541,0.1387
92.85,76.5,0.0059,0.0544,0.1323
92.865,76.5,0.0059,0.0544,0.1323
92.88,76.5,0.0059,0.0544,0.1323
92.895,76.7,-0.0398,0.067,0.1087
92.91,76.7,0.0397,0.0781,0.1175
92.925,76.1,-0.0009,0.1135,0.101
92.94,76.1,-0.0009,0.1135,0.101
92.955,76.1,-0.0708,0.0584,0.1011
92.97,76.1,-0.056,0.0009,0.1135
92.985,76.1,-0.0999,-0.0383,0.117
93,76.1,-0.0999,-0.0383,0.117
93.015,75.8,0.0354,-0.0684,0.1203
93.03,75.8,0.0641,-0.1199,0.1126
93.045,75.8,-0.0079,-0.1015,0.1156
93.06,76,-0.0079,-0.1015,0.1156
93.075,76,-0.0525,-0.1514,0.1018
93.09,75.2,-0.0525,-0.1514,0.1018
93.105,75.2,0.0251,-0.1687,0.1007
93.12,75.2,-0.0357,-0.128,0.0935
93.135,74.9,0.0054,-0.0661,0.1068
93.15,74.9,0.0054,-0.0661,0.1068
93.165,74.9,-0.0137,0.0128,0.1143
93.18,74.7,-0.0849,0.1275,0.1143
93.195,74.7,0.0129,0.1104,0.1275
93.21,74.6,0.0129,0.1104,0.1275
93.225,74.6,-0.0276,0.1336,0.1231
93.24,74.6,0.0046,0.0906,0.124
93.255,74.4,0.0046,0.0906,0.124
93.27,74.4,0.0396,0.0302,0.1394
93.285,74.4,0.0099,-0.0295,0.1357
93.3,73.9,0.0099,-0.0295,0.1357
93.315,73.9,0.0809,-0.0979,0.1517
93.33,73.3,0.0069,-0.0886,0.1426
93.345,73.3,-0.0845,-0.0789,0.1447
93.36,73.3,-0.0845,-0.0789,0.1447
93.375,72.5,-0.0111,-0.0568,0.1453
93.39,72.5,0.0256,-0.0299,0.1536
93.405,72.5,-0.1007,0.0234,0.1598
93.42,73,-0.1007,0.0234,0.1598
93.435,73,-0.1007,0.0234,0.1598
93.45,72.7,0.0725,-0.0079,0.1882
93.465,72.7,0.0529,-0.0044,0.1885
93.48,72.7,-0.0074,0.066,0.2086
93.495,72.6,0.0816,0.0497,0.2123
93.51,72.6,0.0816,0.0497,0.2123
93.525,72.6,-0.0183,0.013,0.2092
93.54,71.5,-0.1274,0.0213,0.2024
93.555,71.5,0.0037,0.0238,0.2157
93.57,71.2,0.0037,0.0238,0.2157
93.585,71.2,-0.033,0.1056,0.2104
93.6,71.2,-0.0499,-0.0216,0.2216
93.615,71.1,-0.0499,-0.0216,0.2216
93.63,71.1,-0.0321,-0.0044,0.2262
93.645,71.1,-0.0321,-0.0044,0.2262
93.66,70.6,-0.0267,-0.0293,0.2197
93.675,70.6,0.0645,-0.0752,0.2398
93.69,70.1,0.0624,-0.0394,0.2514
93.705,70.1,-0.0382,-0.0207,0.2606
93.72,70.1,-0.0382,-0.0207,0.2606
93.735,69.3,-0.0195,-0.0323,0.2786
93.75,69.3,0.0144,-0.0438,0.2848
93.765,69.3,-0.028,-0.0463,0.2992
93.78,68.9,-0.028,-0.0463,0.2992
93.795,68.9,-0.028,-0.0463,0.2992
93.81,68.3,-0.0407,-0.0033,0.2978
93.825,68.3,-0.1823,0.0096,0.2996
93.84,68.3,-0.1212,0.0959,0.3273
93.855,67.7,-0.1212,0.0959,0.3273
93.87,67.7,0.0952,0.0647,0.3474
93.885,67.7,0.0228,0.0957,0.3848
93.9,67.6,-0.0696,0.009,0.3971
93.915,67.6,0.0451,-0.0667,0.413
93.93,67.6,0.0451,-0.0667,0.413
93.945,66.2,0.0075,-0.0898,0.4039
93.96,66.2,0,-0.1028,0.4213
93.975,65.3,0,-0.1028,0.4213
93.99,65.3,-0.0198,-0.1001,0.431
94.005,65.3,-0.0198,-0.1001,0.431
94.02,64,-0.0788,-0.0429,0.4201
94.035,64,0.0052,-0.0107,0.4282
94.05,64,0.0189,-0.0126,0.4217
94.065,63.4,0.0189,-0.0126,0.4217
94.08,63.4,-0.0722,0.0276,0.4222
94.095,62.5,0.0073,-0.0179,0.3913
94.11,62.5,0.0262,0.0075,0.3853
94.125,62.5,0.0262,0.0075,0.3853
94.14,61.7,-0.0218,-0.0003,0.366
94.155,61.7,-0.0218,-0.0003,0.366
94.17,61.7,0.0681,-0.0171,0.362
94.185,60.8,0.0645,0.0096,0.3654
94.2,60.8,-0.0176,0.0269,0.3569
94.215,60.1,-0.0176,0.0269,0.3569
94.23,60.1,0.0764,0.0255,0.3582
94.245,60.1,0.0624,-0.0122,0.367
94.26,58.8,-0.0838,0.0011,0.3635
94.275,58.8,-0.0838,0.0011,0.3635
94.29,58.8,0.0207,0.0161,0.3726
94.305,57.8,0.0177,0.0455,0.3825
94.32,57.8,-0.034,0.1085,0.4124
94.335,57.5,-0.034,0.1085,0.4124
94.35,57.5,-0.0034,0.0463,0.4294
94.365,57.5,-0.0034,0.0463,0.4294
94.38,56.5,-0.0009,0.0582,0.4415
94.395,56.5,-0.0478,0.0573,0.4668
94.41,56.5,0.0113,0.0295,0.4854
94.425,56,0.0113,0.0295,0.4854
94.44,56,0.1053,-0.0025,0.4942
94.455,54.5,-0.0073,-0.0396,0.4981
94.47,54.5,-0.0042,-0.0099,0.5402
94.485,54.5,-0.0042,-0.0099,0.5402
94.5,53.4,0.0835,-0.0591,0.5642
94.515,53.4,0.0835,-0.0591,0.5642
94.53,53.4,0.0186,-0.0235,0.5858
94.545,52,-0.0182,0.0116,0.5999
94.56,52,-0.0966,0.016,0.6072
94.575,50.5,-0.0966,0.016,0.6072
94.59,50.5,-0.1335,0.0134,0.6074
94.605,50.5,-0.0194,-0.027,0.5908
94.62,49.9,0.068,-0.0173,0.6023
94.635,49.9,0.068,-0.0173,0.6023
94.65,49.9,-0.0751,-0.0441,0.5961
94.665,49.1,-0.0885,-0.0335,0.5893
94.68,49.1,-0.0885,-0.0335,0.5893
94.695,49.1,0.0449,-0.0026,0.6077
94.71,47.3,0.0449,-0.0026,0.6077
94.725,47.3,0.0496,0.0337,0.6228
94.74,45.7,-0.0168,0.0604,0.6312
94.755,45.7,-0.0003,0.0316,0.6358
94.77,45.7,-0.036,0.0068,0.6211
94.785,43.9,-0.036,0.0068,0.6211
94.8,43.9,-0.0772,-0.0261,0.6118
94.815,43.9,0.0306,-0.0402,0.6121
94.83,42.4,0.0292,-0.0375,0.6109
94.845,42.4,0.0292,-0.0375,0.6109
94.86,41.3,-0.0108,-0.0257,0.5886
94.875,41.3,0.0527,0.0275,0.5829
94.89,41.3,0.0527,0.0275,0.5829
94.905,39.6,0.038,0.0467,0.5786
94.92,39.6,0.038,0.0467,0.5786
94.935,39.6,0.015,0.071,0.5818
94.95,38.2,0.0519,0.0376,0.5824
94.965,38.2,-0.0208,-0.0133,0.5734
94.98,36.5,-0.1005,-0.0294,0.5779
94.995,36.5,-0.1005,-0.0294,0.5779
95.01,36.5,-0.0446,-0.0062,0.5751
95.025,35.4,-0.0392,0.0286,0.5784
95.04,35.4,-0.0392,0.0286,0.5784
95.055,35.4,-0.0047,-0.0025,0.5728
95.07,34.6,-0.0047,-0.0025,0.5728
95.085,34.6,0.0252,-0.0222,0.5759
95.1,33.5,0.0529,-0.0062,0.5758
95.115,33.5,0.0628,-0.0237,0.565
95.13,33.5,0.0628,-0.0237,0.565
95.145,31.8,0.0443,-0.0522,0.5514
95.16,31.8,0.0127,-0.0478,0.5403
95.175,31.8,0.0096,-0.0373,0.5418
95.19,29.7,0.0548,-0.0345,0.534
95.205,29.7,0.0548,-0.0345,0.534
95.22,28.4,0.0548,-0.0345,0.534
95.235,28.4,0.0583,-0.0181,0.5488
95.25,28.4,0.0137,0.0203,0.5448
95.265,27.1,-0.044,0.0586,0.5274
95.28,27.1,-0.044,0.0586,0.5274
95.295,27.1,-0.0666,0.0475,0.5114
95.31,26,0.0116,0.0395,0.5007
95.325,26,0.058,-0.0014,0.4989
95.34,26,0.058,-0.0014,0.4989
95.355,25.2,0.0549,-0.0367,0.5031
95.37,25.2,0.0352,-0.0048,0.5082
95.385,23.8,-0.0578,0.0333,0.5018
95.4,23.8,-0.0578,0.0333,0.5018
95.415,23.8,-0.1168,-0.0053,0.5027
95.43,22.5,-0.1168,-0.0053,0.5027
95.445,22.5,-0.0281,0.0156,0.511
95.46,21.5,0.0309,0.0343,0.5124
95.475,21.5,-0.0165,0.0443,0.5173
95.49,21.5,-0.0165,0.0443,0.5173
95.505,20.6,0.0037,0.0337,0.5075
95.52,20.6,0.0347,0.0176,0.5157
95.535,20.6,-0.0469,0.0085,0.5256
95.55,19.5,-0.0469,0.0085,0.5256
95.565,19.5,-0.0032,0.0219,0.5564
95.58,19.5,0.0042,0.02,0.5705
95.595,18.1,0.0042,0.02,0.5705
95.61,18.1,-0.079,0.0219,0.5858
95.625,17,-0.0487,0.0278,0.6039
95.64,17,-0.0487,0.0278,0.6039
95.655,17,0.0039,0.0238,0.6088
95.67,15.6,-0.0514,-0.006,0.6091
95.685,15.6,-0.0683,-0.0433,0.6027
95.7,14.6,-0.0683,-0.0433,0.6027
95.715,14.6,-0.0214,-0.0766,0.6065
95.73,14.6,-0.0394,-0.063,0.6149
95.745,13.1,-0.0394,-0.063,0.6149
95.76,13.1,0.0003,-0.0037,0.6455
95.775,13.1,0.0221,0.0133,0.6714
95.79,11.8,0.0221,0.0133,0.6714
95.805,11.8,-0.0564,0.0309,0.6774
95.82,11.8,-0.0861,0.0201,0.6898
95.835,10.1,-0.0091,-0.0075,0.695
95.85,10.1,-0.0091,-0.0075,0.695
95.865,8.3,0.0105,-0.0235,0.6956
95.88,8.3,-0.0029,-0.0362,0.6916
95.895,8.3,0.0354,-0.0495,0.6873
95.91,6.7,0.0354,-0.0495,0.6873
95.925,6.7,-0.0593,-0.0269,0.6774
95.94,6.7,-0.0593,-0.0269,0.6774
95.955,4.6,-0.0656,-0.008,0.6752
95.97,4.6,-0.0027,0.022,0.6823
95.985,2.9,0.0196,0.0168,0.6827
96,2.9,0.0196,0.0168,0.6827
96.015,2.9,-0.0107,0.0186,0.6914
96.03,1.9,-0.038,0.013,0.6846
96.045,1.9,-0.0647,-0.0092,0.6811
96.06,1.9,-0.0647,-0.0092,0.6811
96.075,0.4,-0.0613,-0.0164,0.6816
96.09,0.4,0.0306,-0.0372,0.6759
96.105,0.4,0.0306,-0.0372,0.6759
96.12,359.4,0.0113,-0.0462,0.6818
96.135,359.4,0.0113,-0.0462,0.6818
96.15,357.7,-0.0397,-0.0388,0.675
96.165,357.7,-0.049,-0.0223,0.6698
96.18,357.7,-0.0195,-0.0238,0.6694
96.195,355.5,0.0191,0.0095,0.6784
96.21,355.5,0.0191,0.0095,0.6784
96.225,353.8,0.0417,0.0412,0.6923
96.24,353.8,0.0053,0.0258,0.693
96.255,353.8,-0.05,-0.0025,0.6858
96.27,352.1,-0.05,-0.0025,0.6858
96.285,352.1,0.0102,-0.0351,0.6879
96.3,352.1,0.0102,-0.0351,0.6879
96.315,350.9,0.0018,-0.0404,0.6964
96.33,350.9,-0.0146,-0.0275,0.7141
96.345,350.9,-0.0146,-0.0275,0.7141
96.36,349.6,0.0068,-0.0081,0.7263
96.375,349.6,0.009,0.0242,0.7372
96.39,349.6,-0.0382,0.0422,0.7369
96.405,347.7,-0.0357,0.0784,0.7392
96.42,347.7,-0.0357,0.0784,0.7392
96.435,345.8,0.0246,0.0712,0.7446
96.45,345.8,0.0395,0.038,0.7383
96.465,345.8,0.0395,0.038,0.7383
96.48,344.3,0.0047,-0.0448,0.7325
96.495,344.3,0.0047,-0.0448,0.7325
96.51,342.1,-0.0042,-0.0811,0.7371
96.525,342.1,0.0136,-0.0515,0.7569
96.54,342.1,0.0195,-0.0304,0.7746
96.555,340.5,0.0195,-0.0304,0.7746
96.57,340.5,0.009,-0.0222,0.7857
